id,sr,cobo,fecha,mes,anio,ing_telmex,ing_cisco,problema,diagnostico,responsable,codigo_cierre,subtipo,detalle_subtipo,tecnologia,observacion,clli
3,615740143,"",Oct 15 2010 18:22:02,Oct,2010,Susana Muratalla Salazar,"","Se identifico daño de tarjeta 76-ES+XC-20G3C Slot 3 nodo MERDYUPGO04-AGR6-06 perteneciente al cluster de Mérida,  el servicio fue migrado del puerto Ge3/1 hacia el puerto Ge1/3 para recuperar el servicio. Se solicito RMA para reemplazar tarjeta dañada. Se genero EFA para análisis de la tarjeta dañada. (FA- 0122938)","Se reemplazo la tarjeta dañada, se migro nuevamente el servicio al puerto original Ge3/1 y se borro toda la configuración temporal en el puerto Ge1/3.",Cisco,Hardware,"","",CE,"",MERDYUPGO04-AGR6-06
12,634658373,"",Jan 00 1900 00:00:00,Dec,2010,Adrian Hernandez,"","La causa raíz del problema reportado fue una tarjeta dañada (slot 1, 76-ES+XC-40G3C=) en el equipo Agregador 3 (ZPPNJACGO00-AGR3-06) a la cual estaban conectados ambos equipos ISAM, causando la falla en el servicio para los usuarios de HSI conectados. Al correr el comando <show module> se identifico la condición de MajFail en el modulo mencionado.",La solución temporal fue la migración de los servicios de los puertos G1/1 y G1/3 hacia los nuevos puertos 3/1 y 3/3. Posteriormente se cambio la tarjeta dañada en el nodo ZPPNJACGO00-AGR3-06 y se regresaron los servicios a las configuraciones originales.,Cisco,Hardware,"","",CE,"Por la información que se tenía en un principio todo parecia indicar un problema de duplicidad de VLANs. Finalmente por la complejidad del caso, se escaló con el grupo de Desarrollo para confirmar que era un problema de HW.",ZPPNJACGO00-AGR3-06
2,615539177,"",Sep 23 2010 18:21:05,Sep,2010,Ma. de la Luz Hernandez Arreguin,"","Basado en los logs y condición de los nodos afectados, se identifica que existe un problema físico en las interfaces Teg4/3 y GE 10/1/11",Personal de CM Aguscalientes corrige la condición de falla identificando el problema en las F.O. correspondientes a los puertos.,Telmex,Terceros,"","",CE,"",AGSCXAGAO03-AGR3-06
6,615824615,"",Oct 25 2010 22:50:53,Oct,2010,Ma. de la Luz Hernandez Arreguin,"","Se identifico condición de Link down due to oper down en los nodos MERDYUPLO1F_DIST1-09 TenGig 4/3 y MERDYUMYO02-AGR3-06 Tengig 1/11, se diagnostico que la probable causa es un daño de F.O.","Personal del CM Mérida identifico un daño de fibra, después de recuperar la fibra dañada, la condición de falla se corrigió.",Telmex,Terceros,"","",CE,No Aplica,MERDYUPLO1F-DIST1-09
8,616027823,"",Nov 14 2010 22:57:50,Nov,2010,Susana Muratalla Salazar,"","Se reporto afectación de servicio de HSI en un DSLAM conectado en la red CE,  se reviso la configuración del cluster y no se identifico ningún problema que pudiera ser la causa raíz del comportamiento observado.","RCDT modifico la configuración en su red ya que detecto algún problema, también se reconfiguro el equipo DSLAM, una vez realizados dichos cambios,  se valido que el trafico quedo restaurado. Adicional a esto durante el proceso de diagnostico se identifico un detalle de configuración en la VPLS de gestión en el DIST1-09, se recomienda agregar las siguientes líneas de configuración: la vfi MNG_VFI_ACCESO manual neighbor 187.174.3.17 encapsulation mpls
para tener una protección valida.

",Telmex,Terceros,"","",CE,No Aplica,AGSCXARAO00-AGR5-06
2853,681260111,"",VENTANA,Nov,2016,VENTANA VENTANA,VENTANA,VENTANA,VENTANA,Telmex,Ventana,HARDWARE,VENTANA,CE,VENTANA,TPTNJATEO09-AGR3-06
1,615401715,Sep 10 2010 02:22:17,"",Sep,2010,Ma. de la Luz Hernandez Arreguin,"","Se detecto que el puerto Ge1/1 del equipo AGSCXAAGO0C-DIST1-09 del cluster de Aguascalientes, se encuentra administrativamente apagado. Este puerto es el que interconecta hacia Uninet y en el que los servicios afectados estaban configurados.","Se habilito el puerto  Ge1/1 del equipo AGSCXAAGO0C-DIST1-09 del cluster de Aguascalientes, se valido que los servicios funcionaron correctamente.
",Telmex,Terceros,"","",CE,"",AGSCXAAGO0C-DIST1-09
15,616434891,"",Jan 03 2011 17:46:11,Jan,2011,Susana Muratalla Salazar,"",El cliente no podía aprovisionar nuevos servicios a través de ANA porque el gestor no registra la tarjeta correctamente apareciendo como unknown.,"La tarjeta se reseteó vía CLI para forzar el poleo de ANA hacia la LC,  después de esta acción,  la tarjeta es reportada correctamente en ANA.",Cisco,Software,"","",CE,"",ZPPNJALAO0G-DIST2-09
16,616446569,"",Jan 04 2011 18:35:50,Jan,2011,Ma. de la Luz Hernandez Arreguin,"","Se detecto daño en la tarjeta PWR-2700-DC,  el status que registra a través de CLI es Off,  se ejecutaron algunos comando con los cuales se diagnostico que es necesario el reemplazo de la parte.","Se reemplaza la fuente de poder PWR-2700-DC. CNS confirma que la fuente esta funcionando correctamente. Se solicita apoyo al cliente para revisar los cables de tierra y condiciones de temperatura del sitio. Asimismo, se solicita monitorear el equipo una vez realizado el reemplazo.",Cisco,Hardware,"","",CE,"",NZYLXMTOO01-AGR3-06
20,616615743,"",Jan 21 2011 16:46:05,Jan,2011,Adrian Hernandez,"","Se verifico a través de ANA y CLI la condicionde minor alarm reportada, se diagnostico que el problema era debido a que el sensor LC Inlet registra una temperatura de 50 grados y los umbrales configurados son: Minor Threshold = 50, Major Threshold = 65, por lo que al alcanzar el umbral bajo, genera alarma de MinorFail y físicamente se detecta que el led del panel frontal de la tarjeta aparece de color ambar.","Se realizaron diversas mediciones de temperatura en sitio, se involucro a la BU para análisis; la causa raíz del problema reportado es debido al bug CSCtn68668  IOS fix for handling LC inlet issue on ES+XC and Alarm handling issues, la solución a dicho bug esta lista para el release IOS  SRE4, en espera para realizar el upgrade a dicha versión de IOS",Cisco,Software,"","",CE,"Por su complejidad, este caso fue escalado con la BU. Se realizaron diversas mediciones de temperatura en sitio, se involucro a la BU para análisis; la causa raíz del problema reportado es debido al bug CSCtn68668  IOS fix for handling LC inlet issue on ES+XC and Alarm handling issues, la solución a dicho bug esta lista para el release IOS  SRE3, en espera para realizar el upgrade a dicha version de IOS",NZYLXMTOO01-AGR3-06
